,gnn_auc,gnn_f1,gnn_ap
0,0.7263477947562063,1.0515440896998247,0.2031772254811537
3,0.8335183649254978,1.2597451132086899,0.3722729527754285
6,0.8605919856092649,1.3870942884401496,0.4478241604192662
9,0.8859430154766494,1.4790422057872143,0.5418607961627874
12,0.8839578038664833,1.4181282486303424,0.4646441930619378
15,0.8751267724212792,1.527244306510674,0.5206285024928266
18,0.8786458125160975,1.5165248761442753,0.5518473959120934
21,0.8881668853330941,1.5613026995565213,0.5566718286983151
24,0.8870071998473844,1.5376411347898953,0.5634067273617825
27,0.8885085207182731,1.436766731692668,0.5180086210058253
30,0.8862314750963171,1.3573481911155607,0.47136072328645556
33,0.9005076991119706,1.46376446206686,0.5454269428818045
36,0.9059541643518627,1.4870474210030924,0.6001625717763357
39,0.898282098425084,1.4051344140123798,0.5451851594760674
42,0.9080515526829006,1.4642927677375888,0.5869698017215007
45,0.9077547079897054,1.4848794308185076,0.6144088896377883
48,0.9097685437537354,1.4445371148335482,0.5953920961114654
51,0.9123215695624245,1.444630630654044,0.6161730755805058
54,0.9111548807585819,1.4337869254264979,0.5993811222639402
57,0.9166589361088523,1.4768568415363983,0.6263973384302673
60,0.9197675584894149,1.50349200845143,0.636404434924514
63,0.9169770452903347,1.4795781882415937,0.6308987202551577
66,0.9227864249484867,1.5017819786937778,0.6598872320331602
69,0.9217666312879107,1.4757951725009917,0.6374679717941896
72,0.9254207706983613,1.4817348714223233,0.6527800486842119
75,0.923248113060288,1.560854994328551,0.6557902196610008
78,0.9185932918480911,1.4538162426202346,0.6241889126894862
81,0.9254886076158517,1.4692966816090944,0.647377018706418
84,0.9240898275400546,1.465020304236152,0.6481264951745284
87,0.9276881658497438,1.5112397153158652,0.6804285403374082
90,0.9223769962801981,1.495438475912304,0.6541280233372777
93,0.931673381125198,1.5420291764786307,0.7014250673148499
96,0.9265231206075814,1.4314794276909981,0.6703100119221269
99,0.9265111938768048,1.4796578862625032,0.6663917175530256
102,0.9287577172493282,1.4874936549912383,0.6906733041560151
105,0.9241832705667308,1.4636534233136416,0.6535569394165889
108,0.9321710457840432,1.5362930595747837,0.6915641485366701
111,0.9258705393517827,1.4848582134964603,0.683087423118445
114,0.9308542038031611,1.522227504376008,0.6955582875580875
