,gnn_auc,gnn_f1,gnn_ap
0,0.8327105616320795,0.6656822803742255,0.38549629922216744
3,0.8466453902516488,0.6594248195624639,0.39206471513919555
6,0.8927684580558114,0.7309223601064604,0.5476543671522616
9,0.9070532998616907,0.7193807485178684,0.5827890062224883
12,0.9180419423559576,0.7754045745596193,0.6223080769404276
15,0.916653881793066,0.7715677734669567,0.6274909244704826
18,0.9205673330567495,0.682724826299056,0.609911340555297
21,0.9366804263323365,0.78377386150888,0.7169785092483454
24,0.9396629526245237,0.7981648676712322,0.7397706095203729
27,0.943486153443733,0.795518197290507,0.727325273684234
30,0.9431096323710325,0.7982484396980947,0.7538416862809053
33,0.9455015236834912,0.8103069074844294,0.7683592473455159
36,0.9263409543397622,0.8051658217514863,0.6874718771524775
39,0.932476166464814,0.8116489682301037,0.7108698800989203
42,0.9426228035834415,0.7916863515072804,0.7509744410599184
45,0.9450739212955618,0.7647208591597721,0.7299134945336087
48,0.9485125286816058,0.8149921378264798,0.7920062595379843
51,0.9506009792369581,0.8248063751705805,0.8042441917163323
54,0.9521348513559907,0.8109504118808921,0.8004720867060872
57,0.9521772567018191,0.8258122117994631,0.8069821462878404
60,0.9528212201673919,0.8216337016909104,0.7977424280720609
63,0.9520816683180825,0.8554018387882864,0.8252230633386484
66,0.9434502423482604,0.7828240504793292,0.7151452605658362
69,0.9469338149638118,0.7748413849565098,0.7521097435765919
72,0.9478858662480559,0.8379418459287835,0.8036256976468691
75,0.9505050781401586,0.8463447055534702,0.8189780995758471
78,0.9454124877292849,0.8636980562781637,0.8035867711268735
81,0.950378465711609,0.8144545118813253,0.7852156072762126
84,0.9507503106331576,0.7950424998095939,0.7775885517935099
87,0.9080921399295252,0.7704822207502341,0.6848162229949832
90,0.9086926362793347,0.7020713481129252,0.5426545383209529
93,0.9344254524347141,0.7566166808509008,0.6629922265225573
96,0.9418103895904425,0.7819410177496836,0.7283162355959997
99,0.9466480824929497,0.775082096365287,0.7392511014103658
102,0.9466930331776633,0.8465227557703019,0.7927883160346223
105,0.9491823018834751,0.8304081794124916,0.7871874184440828
108,0.9495280098108705,0.8035836954234025,0.7767301589482486
111,0.9500508151455053,0.810808676849076,0.7852263886628328
114,0.9503194865734391,0.8382462668272198,0.8021670761560782
117,0.9517395020479361,0.8409986870333178,0.8069924025606475
120,0.951407422592172,0.8167931989671369,0.79683395771042
123,0.9528766067415351,0.8250517027656311,0.8064020433138064
126,0.9528435755152013,0.8320420929533681,0.8104044572287644
129,0.9525550068095815,0.8384163073439651,0.811555981679013
132,0.9521634173306801,0.8515221230510662,0.8229082389063996
135,0.9534511624519054,0.8606052116429762,0.8348136020218966
138,0.9530898188713578,0.8536221337928407,0.8337266602294685
141,0.9546912806463893,0.848531340341685,0.8278021379383316
144,0.9511775203116589,0.8357578259298087,0.8232043972445714
147,0.9553849291270022,0.8462188216562142,0.827320741371662
150,0.9552694216483892,0.846337816611034,0.8186447491178561
153,0.9543402202349379,0.8444812891985808,0.8186609292200662
156,0.9549467817636912,0.8233892717744729,0.8191452536916493
159,0.9555405875084308,0.8255026413959332,0.8156055706502906
162,0.9553255063726268,0.834257065480184,0.8269285397908116
165,0.9537298697874441,0.8459189169398461,0.8309793427123526
168,0.9538259308769738,0.8158556527669908,0.7967625653965837
171,0.9525838491353499,0.8149680426196284,0.7820113019039054
174,0.9539922069577522,0.8597756696410616,0.8271936935862239
177,0.9512089879726775,0.826449111433552,0.8014353489687506
180,0.9548552295601871,0.8021492562116553,0.7990690098484258
183,0.9518811756102894,0.8142732199774102,0.7981410600881925
186,0.9522768303590103,0.8449841589371291,0.804949532806706
189,0.9541629046557941,0.8325462373935605,0.8017757465064326
192,0.8832824091018758,0.687446866347354,0.5317528943968092
195,0.8461210795308733,0.6503616228521147,0.34123316822137884
198,0.9179197951790524,0.7247862012489417,0.5768823833542055
201,0.9216019187724472,0.7746973239460216,0.5829892874797971
204,0.9319372164092501,0.7569384574041153,0.6748766019794411
207,0.939206900620254,0.7806134025742498,0.7145313385127406
210,0.9443471179578691,0.8202527491472714,0.7637608418257837
213,0.9478073389072472,0.7947434322848116,0.7489560333141608
216,0.9469778056921456,0.8192418215806522,0.7771267908696654
