,gnn_auc,gnn_f1,gnn_ap
447,0.9509589556977804,0.8343528560783006,0.8066575880379195
450,0.9520860390285684,0.8356718196526414,0.8073636949383414
453,0.9510969566997421,0.8385928981719136,0.8141747609089044
456,0.9515139341159248,0.8413805893944711,0.8097624754747307
459,0.9520332632448819,0.8380834253359909,0.8138670442796471
462,0.9535038582392269,0.8337287477360678,0.8073462665607369
465,0.9537822383169092,0.8412860289131895,0.8125255298198149
468,0.9541137723429118,0.8447961982855902,0.8156093812000154
471,0.9528633709793318,0.8270662661548519,0.8003117236576128
474,0.9532188384632531,0.8740014347858356,0.833473386106155
477,0.9545658608909176,0.8368890184981879,0.8144425227978093
480,0.9540858899735233,0.8383254616347966,0.8013250025334778
483,0.9520919005804013,0.8313607872181515,0.8053051230569628
486,0.9542632928214286,0.8273054905310967,0.8046954932205406
489,0.95189558222838,0.8483761058988527,0.8207460347235477
492,0.9529089470901715,0.8753331426711937,0.81776320891879
495,0.9459823236541222,0.8284997285539283,0.7463453506630461
498,0.9404257034196728,0.8438168773852717,0.6863671423193878
501,0.8836396946850008,0.7900225724335733,0.5554029939354919
504,0.8855979329753803,0.7546201729295037,0.53653464731984
507,0.9146280974810687,0.7089096206141239,0.5743955225865423
510,0.937209493200629,0.7507033007490754,0.6758753603212451
513,0.942670197793485,0.8133813645766129,0.7500865565725832
516,0.9450894914971427,0.7822026890513681,0.7239104802100338
519,0.9485198665299923,0.7990749898738673,0.7544750393934053
522,0.9479985883986887,0.8202974455335464,0.7728073220036823
525,0.950479813833623,0.8157779209402128,0.7730372904957795
528,0.9501614428458554,0.8110292078003181,0.7714679718703724
531,0.9499536268344694,0.8075595559906183,0.7721577907099035
534,0.9506107169762931,0.8211777104019201,0.7893266263627688
537,0.9510314905836134,0.805136288700448,0.7743631155371432
540,0.9473342622220338,0.8145945054636546,0.7892399587624807
543,0.9506432027728661,0.8264155040171562,0.7887397871424058
546,0.9510004010872293,0.8401452658758134,0.8030675534291125
549,0.9498495152016656,0.8325241674903089,0.7980000173332087
552,0.9504700033703195,0.8334778801682503,0.7929947311925493
555,0.9510750667853289,0.822874002783882,0.7944051367775922
558,0.9511638554780434,0.8353267678258136,0.8039949294862038
561,0.9519820510265103,0.8334760519269331,0.8026559667594166
564,0.9519116760425315,0.8326791881354014,0.8063885374953327
567,0.9535965376642377,0.8277575029675545,0.8000329002325605
570,0.9528058826825091,0.8368925445389291,0.8095133731831387
573,0.9541195975327608,0.837023493057475,0.7806772098723773
576,0.953744850924883,0.8447476372554579,0.8110824014193901
579,0.9519668735343575,0.8295535287026905,0.8103217601816554
582,0.9531611829013036,0.8406788733898843,0.8190909966586492
585,0.9534100079583292,0.8405679285804158,0.8172091435565353
588,0.9534934514393848,0.8387866613690693,0.8207973571915484
591,0.9552231328426618,0.8164311321993282,0.8010741588559281
594,0.9501463817120513,0.8440768906200955,0.826823307727719
597,0.9520460553908795,0.840678488176621,0.814551364196231
600,0.9531778657795973,0.8263014893495789,0.8134716510034559
603,0.9529626173786663,0.846810484383293,0.8306839072605346
606,0.9549047473101004,0.8439625144154139,0.8303703725687283
609,0.9541302443216981,0.8566640004155428,0.8368916087405989
612,0.9556120242623447,0.8279080374336374,0.8244842863533399
615,0.9541447527533442,0.8385694812763328,0.8308492233858606
618,0.9540975403532208,0.8464321319496969,0.837302053253597
621,0.9481587411213489,0.8565185542709255,0.8381811383220281
624,0.9248328919570258,0.7850334883936989,0.5833402415250444
627,0.9393844489160957,0.8177846122854925,0.7105573134446315
630,0.944278117456888,0.807410244172729,0.7066825801598919
633,0.94862090921134,0.8088045998616264,0.7655817242831973
636,0.9493436981859908,0.8304333090249809,0.7997394219632209
639,0.9508857953858213,0.8215911923948971,0.8020419739443427
642,0.9504296342955995,0.8283453413147379,0.8041498474272851
645,0.9511653608641842,0.8365930612519504,0.814138807565147
648,0.9519384311904142,0.8417549039736991,0.8238969116608117
651,0.9520940459374617,0.847595846387393,0.8270814341407096
654,0.9532371067240523,0.836538531192731,0.8189515170948777
657,0.9529325460178363,0.8526193425337913,0.8319691875609343
660,0.9532822755806704,0.855622730437867,0.8272733411679423
663,0.9534878153318532,0.8495359193860212,0.8323877912932246
666,0.9540865008548557,0.8466060215108622,0.8318093982189303
669,0.9539456199837549,0.845855556711499,0.8307695037927274
672,0.9536035409823704,0.8543372315151565,0.8352525177195883
675,0.9518981202948683,0.8619489430577707,0.8402126955603935
678,0.9529662681218675,0.8488134148535637,0.8304414689425849
681,0.9542496861669878,0.8450820478169258,0.827139494283031
684,0.9533883362158206,0.8477360281978434,0.8187298066787645
687,0.9541789984699459,0.8426983885094843,0.8295978741093659
690,0.9555935160124506,0.8471246673826753,0.8314380115963667
693,0.9557495380137198,0.8517076903766903,0.8342934391405108
696,0.9550780412538054,0.8491768293532189,0.8308128665333551
699,0.954571387912497,0.8551645805600054,0.8363407742517167
702,0.9549986048633949,0.856419502232067,0.8365425467440981
705,0.9550463263312952,0.85118299920129,0.8368888050859388
708,0.9553068090404153,0.854006372672386,0.8382757851495332
711,0.9560685707895978,0.851618448741155,0.8360358407042849
714,0.9554929314921021,0.8542465222564063,0.8345615076640385
717,0.955985258211685,0.8572243908630808,0.8345910774103381
720,0.9543346786685649,0.8525840663853305,0.8402210715816409
723,0.9538060481440814,0.8510815813816358,0.835535332742549
726,0.9550084807782697,0.8528758075525886,0.8312096373694345
729,0.9547124651383113,0.8607064682197535,0.8399833938132594
732,0.9552834282846551,0.8482754523599825,0.8314773737178566
735,0.9560102170775541,0.8569720402555864,0.8338636387037579
738,0.9558355195612639,0.870885816275175,0.844197321914631
741,0.9556932351175781,0.8613096519489126,0.8370126468822456
744,0.9550618674432887,0.868273271517804,0.8469504341780935
747,0.9553143286987221,0.8627100454160492,0.8404384036035814
